"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"Year 96 BC was a year of the pre-Julian Roman calendar. At the time it was known as the Year of the Consulship of Ahenobarbus and Longinus (or, less frequently, year 658 Ab urbe condita). The denomination 96 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Roman Republic Consuls: Gaius Cassius Longinus and Gnaeus Domitius Ahenobarbus Cyrene is left to the people of the Roman Republic by its ruler Ptolemy Apion. Greece Seleucus VI Epiphanes becomes king of the Seleucid Empire following the death of his father Antiochus VIII Grypus, and defeating in battle Antiochus IX Cyzicenus. Asia Start of the Taishi era in the Han Dynasty. Births Galeria Copiola, Roman dancer d. 9 AD Deaths Antiochus VIII Grypus, king of the Seleucid Empire Antiochus IX Cyzicenus, king of the Seleucid Empire Gongsun Ao, Chinese general of the Han Dynasty Ptolemy Apion, king of Cyrenaica (modern Libya) References","The year was 96 BC. People used a Roman way to count years. Back then, people called it the year of Ahenobarbus and Longinus. Sometimes, they called it year 658. We call it 96 BC now. This is how we count years today.

In Rome, Longinus and Ahenobarbus were leaders. King Ptolemy gave Cyrene to Rome.

In Greece, King Antiochus died. His son, Seleucus, became a new king. Seleucus fought and won against another King Antiochus.

In Asia, a new time started in China. It was called Taishi.

Galeria was born. She was a dancer from Rome. She died in year 9 AD.

King Antiochus died. Another King Antiochus died. Gongsun Ao died. He was a leader in China. King Ptolemy died. He was from Cyrenaica.","The year 96 BC was a time when Romans used their own way to count years. Back then, people called it the Year of the Consulship of Ahenobarbus and Longinus. This was because two important leaders, Ahenobarbus and Longinus, were in charge. Sometimes, it was also called year 658 Ab urbe condita.

We call it 96 BC now. People started using this name much later, in the early Middle Ages. That's when people in Europe began using the Anno Domini calendar, which is how we name years today.

Here are some things that happened:

**Roman Republic**
The leaders (called Consuls) were Gaius Cassius Longinus and Gnaeus Domitius Ahenobarbus.
The king of Cyrene, Ptolemy Apion, gave his land to the Roman people.

**Greece**
Seleucus VI Epiphanes became king of the Seleucid Empire. This happened after his father, Antiochus VIII Grypus, died. Seleucus also won a battle against Antiochus IX Cyzicenus.

**Asia**
A new time called the Taishi era began in the Han Dynasty.

**People born this year:**
Galeria Copiola, a Roman dancer. She died in 9 AD.

**People who died this year:**
Antiochus VIII Grypus, who was a king of the Seleucid Empire.
Antiochus IX Cyzicenus, who was also a king of the Seleucid Empire.
Gongsun Ao, a Chinese general from the Han Dynasty.
Ptolemy Apion, who was the king of Cyrenaica (which is now called Libya).","The year 96 BC was part of the pre-Julian Roman calendar. At that time, Romans knew it as the Year of the Consulship of Ahenobarbus and Longinus, or less often, as year 658 Ab urbe condita (from the founding of the city). The name ""96 BC"" for this year has been used since the early medieval period, when the Anno Domini calendar system became the main way to name years in Europe.

**Events:**

*   **Roman Republic:** Gaius Cassius Longinus and Gnaeus Domitius Ahenobarbus served as consuls. Ptolemy Apion, the ruler of Cyrene, left his territory to the people of the Roman Republic.
*   **Greece:** Seleucus VI Epiphanes became king of the Seleucid Empire. He took the throne after his father, Antiochus VIII Grypus, died, and after he defeated Antiochus IX Cyzicenus in battle.
*   **Asia:** The Taishi era began in the Han Dynasty of China.

**Births:**

*   Galeria Copiola, a Roman dancer (died in 9 AD).

**Deaths:**

*   Antiochus VIII Grypus, king of the Seleucid Empire.
*   Antiochus IX Cyzicenus, king of the Seleucid Empire.
*   Gongsun Ao, a Chinese general of the Han Dynasty.
*   Ptolemy Apion, king of Cyrenaica (modern Libya)."
"The following is a list of notable stand-up comedians by nationality. Argentina Australia Austria Bangladesh Naveed Mahbub Belgium Brazil Canada Colombia Andrés López Cuba Denmark Finland France Germany Hong Kong Hungary Sándor Fábry Géza Hofi Iceland Jón Gnarr India Indonesia Ireland Israel Adir Miller Naor Zion Italy Malawi Daliso Chaponda Malaysia Harith Iskander Kavin Jayaram Patrick Teoh Mexico Middle East The first country listed is that of origin; the second is that in which the comedian achieved notability or most commonly performs. Netherlands New Zealand Nigeria Norway Pakistan Philippines Portugal Romania Russia Saint Vincent and the Grenadines Saluche Singapore Umar Rana Slovenia Tin Vodopivec South Africa Spain Sweden Turkey United Kingdom United States Venezuela See also List of comedians List of deadpan comedians References Stand up","Here are funny people.
They tell jokes.
They are from different places.

Argentina. Australia. Austria.
Bangladesh. Naveed Mahbub.
Belgium. Brazil. Canada.
Colombia. Andrés López.
Cuba. Denmark. Finland. France.
Germany. Hong Kong. Hungary.
Sándor Fábry. Géza Hofi.
Iceland. Jón Gnarr.
India. Indonesia. Ireland.
Israel. Adir Miller. Naor Zion.
Italy. Malawi. Daliso Chaponda.
Malaysia. Harith Iskander. Kavin Jayaram. Patrick Teoh.
Mexico. Middle East.

Some funny people are from one place.
They tell jokes in another place.
The first place is where they are from.
The second place is where they tell jokes a lot.

Netherlands. New Zealand. Nigeria. Norway.
Pakistan. Philippines. Portugal. Romania. Russia.
Saint Vincent and the Grenadines. Saluche.
Singapore. Umar Rana.
Slovenia. Tin Vodopivec.
South Africa. Spain. Sweden. Turkey.
United Kingdom. United States. Venezuela.","Here is a list of funny people who tell jokes on stage. They are grouped by the country they come from.

Argentina
Australia
Austria
Bangladesh: Naveed Mahbub
Belgium
Brazil
Canada
Colombia: Andrés López
Cuba
Denmark
Finland
France
Germany
Hong Kong
Hungary: Sándor Fábry, Géza Hofi
Iceland: Jón Gnarr
India
Indonesia
Ireland
Israel: Adir Miller, Naor Zion
Italy
Malawi: Daliso Chaponda
Malaysia: Harith Iskander, Kavin Jayaram, Patrick Teoh
Mexico
Middle East

If a comedian has two countries listed, the first country is where they were born. The second country is where they became famous or where they tell most of their jokes.

Netherlands
New Zealand
Nigeria
Norway
Pakistan
Philippines
Portugal
Romania
Russia
Saint Vincent and the Grenadines: Saluche
Singapore: Umar Rana
Slovenia: Tin Vodopivec
South Africa
Spain
Sweden
Turkey
United Kingdom
United States
Venezuela","This is a list of well-known stand-up comedians, grouped by their nationality. When two countries are listed for a comedian, the first is their country of birth or origin. The second country is where they became well-known or perform most often.

Argentina
Australia
Austria
Bangladesh: Naveed Mahbub
Belgium
Brazil
Canada
Colombia: Andrés López
Cuba
Denmark
Finland
France
Germany
Hong Kong
Hungary: Sándor Fábry, Géza Hofi
Iceland: Jón Gnarr
India
Indonesia
Ireland
Israel: Adir Miller, Naor Zion
Italy
Malawi: Daliso Chaponda
Malaysia: Harith Iskander, Kavin Jayaram, Patrick Teoh
Mexico
Middle East
Netherlands
New Zealand
Nigeria
Norway
Pakistan
Philippines
Portugal
Romania
Russia
Saint Vincent and the Grenadines: Saluche
Singapore: Umar Rana
Slovenia: Tin Vodopivec
South Africa
Spain
Sweden
Turkey
United Kingdom
United States
Venezuela

See also: List of comedians, List of deadpan comedians
References: Stand up"
"Union is the name of some places in the U.S. state of Wisconsin: Union, Burnett County, Wisconsin, a town Union, Door County, Wisconsin, a town Union, Eau Claire County, Wisconsin, a town Union (community), Eau Claire County, Wisconsin, an unincorporated community Union, Grant County, Wisconsin, an unincorporated community Union, Pierce County, Wisconsin, a town Union, Rock County, Wisconsin, a town Union (community), Rock County, Wisconsin, an unincorporated community Union, Vernon County, Wisconsin, a town Union, Waupaca County, Wisconsin, a town","Union is a name.
Many places in Wisconsin have this name.

One Union is a town in Burnett County.
Another Union is a town in Door County.
Another Union is a town in Eau Claire County.
There is a Union community in Eau Claire County too.
There is a Union community in Grant County.
Another Union is a town in Pierce County.
Another Union is a town in Rock County.
There is a Union community in Rock County too.
Another Union is a town in Vernon County.
Another Union is a town in Waupaca County.","""Union"" is the name of some places in Wisconsin. Wisconsin is a state in the U.S.

Here are the places named Union:
* Union, in Burnett County, is a town.
* Union, in Door County, is a town.
* Union, in Eau Claire County, is a town.
* Union (community), in Eau Claire County, is a place that is not a town.
* Union, in Grant County, is a place that is not a town.
* Union, in Pierce County, is a town.
* Union, in Rock County, is a town.
* Union (community), in Rock County, is a place that is not a town.
* Union, in Vernon County, is a town.
* Union, in Waupaca County, is a town.","In the U.S. state of Wisconsin, the name 'Union' refers to several different places:
*   Union, a town in Burnett County.
*   Union, a town in Door County.
*   Union, a town in Eau Claire County.
*   Union (community), an unincorporated community in Eau Claire County.
*   Union, an unincorporated community in Grant County.
*   Union, a town in Pierce County.
*   Union, a town in Rock County.
*   Union (community), an unincorporated community in Rock County.
*   Union, a town in Vernon County.
*   Union, a town in Waupaca County."
"IEC may refer to: Businesses and organisations International Electrotechnical Commission, standards organisation Independent Electrical Contractors, a U.S. trade association An independent ethics committee Institute of Catalan Studies (Institut d'Estudis Catalans) International Engineering Public Company Limited, a Thai company Interstate Economic Committee, a Soviet committee Israel Electric Corporation Itumbiara Esporte Clube, a Brazilian football club In science and technology IEC connectors, electrical connectors IEC bus, for Commodore computers Inertial electrostatic confinement, in fusion energy Interactive evolutionary computation Ion exchange chromatography, a laboratory technique Other uses Island Eastern Corridor, an expressway in Hong Kong See also","IEC can mean many things.

IEC is a big group. It makes rules for things.
IEC is a group in America. It is for people who work with power.
IEC is a group. It helps make sure things are fair.
IEC is a place to study. It learns about Catalan.
IEC is a big business. It is in Thailand.
IEC was a group. It was in the Soviet Union.
IEC is a power company. It is in Israel.
IEC is a football team. It is in Brazil.

IEC is a plug. It helps power things.
IEC is a special wire. It works with old computers.
IEC is a way to make energy. It uses small things.
IEC is a way to teach computers.
IEC is a science test. You do it in a lab.

IEC is a fast road. It is in Hong Kong.","IEC can mean different things.

It can be a group called the International Electrotechnical Commission. This group makes rules for things like electricity.
It can be a group in the U.S. called Independent Electrical Contractors. They help people who work with electricity.
It can be a special group that checks if things are fair and right. This is called an independent ethics committee.
It can be a place called the Institute of Catalan Studies. They learn about things from a place called Catalonia.
It can be a company from Thailand called International Engineering Public Company Limited.
It can be an old group from the Soviet Union called the Interstate Economic Committee. They looked after money matters.
It can be a company in Israel that makes electricity. It's called Israel Electric Corporation.
It can be a football team from Brazil called Itumbiara Esporte Clube.

It can be special plugs for electricity, called IEC connectors.
It can be a special way that old Commodore computers talk to other parts. This is called an IEC bus.
It can be a science idea about making power, called inertial electrostatic confinement. This is used when people try to make energy like the sun.
It can be a way that computers learn and change, called interactive evolutionary computation.
It can be a special way to separate things in a lab, called ion exchange chromatography.

It can be a big road in Hong Kong called the Island Eastern Corridor.","IEC can refer to:

*   The International Electrotechnical Commission, an organization that sets electrical standards.
*   Independent Electrical Contractors, a U.S. trade group.
*   An independent ethics committee.
*   The Institute of Catalan Studies (Institut d'Estudis Catalans).
*   International Engineering Public Company Limited, a company from Thailand.
*   The Interstate Economic Committee, a committee from the Soviet Union.
*   The Israel Electric Corporation.
*   Itumbiara Esporte Clube, a Brazilian football (soccer) club.
*   IEC connectors, which are types of electrical connectors.
*   An IEC bus, a type of connection used for Commodore computers.
*   Inertial electrostatic confinement, a concept in fusion energy research.
*   Interactive evolutionary computation.
*   Ion exchange chromatography, a laboratory method.
*   The Island Eastern Corridor, an expressway (a major highway) in Hong Kong."
"we establish a general relation between dispersion forces . first , based on qed in causal media , leading - order perturbation theory is used to express both the single - atom casimir - polder and the two - atom van der waals potentials in terms of the atomic polarizabilities and the green tensor for the body - assisted electromagnetic field . endowed with this geometry - independent framework , we then employ the born expansion of the green tensor together with the clausius - mosotti relation to prove that the macroscopic casimir - polder potential of an atom in the presence of dielectric bodies is due to an infinite sum of its microscopic many - atom van der waals interactions with the atoms comprising the bodies . this theorem holds for inhomogeneous , dispersing , and absorbing bodies of arbitrary shapes and arbitrary atomic composition on an arbitrary background of additional magnetodielectric bodies .","We look at how some forces are linked.

First, we use special science rules. These rules help us talk about forces.
One force is for one tiny atom. We call it Casimir-Polder.
Another force is for two tiny atoms. We call it van der Waals.
We can tell how strong these forces are. We use how atoms can stretch. And we use how light and energy are around other things.

Using these ideas that work for all shapes, we then use more special math tools.
We show that the big Casimir-Polder force for one atom, when other things are near, comes from adding up many, many, many tiny van der Waals forces.
These tiny forces are between that atom and all the tiny atoms inside those other things.

This is true for all kinds of things.
Things can be any shape. They can be made of any tiny atoms.
And it works even if other special things are around them.","We found a general rule about dispersion forces, which are forces that pull tiny things together. First, using a special science idea about how light and matter work, we used a math trick. This trick helped us show how strong the Casimir-Polder force (for one tiny atom) and the van der Waals force (for two tiny atoms) are. We showed this by looking at how easily atoms can be wiggled and by using a special map of how light and energy move around things.

With this way of thinking that works no matter what shape things are, we then used more special math ideas. We used them to show that the big Casimir-Polder force on one atom, when it's near other things made of special materials, is really made up of endless tiny van der Waals forces. These tiny forces happen between that one atom and all the other tiny atoms inside those other things.

This rule works for things that are different inside, that can spread light, or soak it up. It works no matter what shape they are or what kinds of atoms they are made of. And it works even if there are other special things around them.","We establish a general relationship between dispersion forces. First, using a fundamental approximation method called leading-order perturbation theory, based on Quantum Electrodynamics (QED) in causal media (where effects always follow causes), we describe both the force on a single atom near a body (the Casimir-Polder potential) and the force between two atoms (the van der Waals potentials). These forces are expressed in terms of how easily an atom's electron cloud can be distorted (atomic polarizabilities) and a mathematical tool called the Green tensor, which describes the electromagnetic field influenced by surrounding objects.

Using this framework, which works independently of the objects' specific shapes, we then apply specific mathematical techniques: the Born expansion of the Green tensor and the Clausius-Mosotti relation. This allows us to prove that the overall Casimir-Polder potential – the force on an atom in the presence of larger dielectric bodies – is actually the result of an infinite sum of its microscopic van der Waals interactions with every individual atom that makes up those bodies.

This theorem applies to bodies that are inhomogeneous (not uniform), dispersing (interact with light differently at different frequencies), and absorbing. It holds true for objects of any shape and any atomic composition, even when there are additional magnetodielectric bodies in the background."
"This list of museums in Northern Ireland contains museums which are defined for this context as institutions (including nonprofit organizations, government entities, and private businesses) that collect and care for objects of cultural, artistic, scientific, or historical interest and make their collections or related exhibits available for public viewing. Also included are non-profit art galleries, university art galleries and interpretive centres linked to sites of interest. Museums that exist only in cyberspace (i.e., virtual museums) are not included. Many other small historical displays are located in the country's stately homes, including those run by the National Trust. Defunct museums Palace Stables Heritage Centre, now council offices, Armagh Ulster History Park, Gortin References Northern Ireland Museum Council Irish Museums Association See also :Category:Tourist attractions in Northern Ireland Related lists for Northern Ireland List of National Trust properties in Northern Ireland List of nature reserves in Northern Ireland List of parks in Northern Ireland List of Ramsar sites in Northern Ireland List of Areas of Special Scientific Interest in Northern Ireland List of museums Museums in the Republic of Ireland Museums in England Museums in Wales Museums in Scotland Northern Ireland Museums Museums","This list shows museums. They are in Northern Ireland.
A museum is a place. It collects things. It cares for things.
These things can be old. Or pretty. Or about science. Or about people's lives.
People can come and see them.
Different kinds of groups run these places.

Art places are on the list too. Some are at schools.
Some places tell stories about special spots. They are on the list too.

Museums only on computers are not on this list.

Many big old houses have small shows of old things.
A group called National Trust runs some of these.

Some museums are closed now.
Palace Stables Heritage Centre is closed. It is in Armagh. It is an office now.
Ulster History Park in Gortin is also closed.","This list tells you about museums in Northern Ireland. A museum is a place that gathers and looks after special things. These things might be about art, science, history, or how people live. Museums let people come and see these special things. Different groups can run museums, like charities, the government, or private companies.

The list also includes art galleries that don't make money, art galleries at universities, and special centres that help you learn about interesting places. Museums you can only visit on a computer are not on this list.

Many big old houses in Northern Ireland also have small history displays. Some of these are looked after by the National Trust.

Some museums that used to be open are now closed. These are the Palace Stables Heritage Centre in Armagh (which is now council offices) and the Ulster History Park in Gortin.","This list includes museums in Northern Ireland. For the purpose of this list, a museum is an institution – which could be a non-profit organization, a government body, or a private business – that collects and looks after objects of cultural, artistic, scientific, or historical importance. These institutions then make their collections or related exhibits available for the public to see.

The list also includes non-profit art galleries, university art galleries, and interpretive centres that are connected to specific sites of interest. However, museums that only exist online (virtual museums) are not part of this list.

It's worth noting that many other small historical displays can be found in stately homes across the country, including those managed by the National Trust.

Defunct museums:
*   Palace Stables Heritage Centre, Armagh (now council offices)
*   Ulster History Park, Gortin"
"Sierra Nevada is a mountain range in the western United States. Sierra Nevada may also refer to: Places Mountain ranges Sierra Nevada, in the Western USA Sierra Nevada (Spain), in southern Spain Sierra Nevada, the Trans-Mexican Volcanic Belt, in central-southern Mexico Sierra Nevada de Lagunas Bravas, a volcanic complex in Chile and Argentina Sierra Nevada de Mérida, in Venezuela Sierra Nevada de Santa Marta, in Colombia Other locations Sierra Nevada (stratovolcano), a volcano in Chile Sierra Nevada National Park (Spain) Sierra Nevada National Park (Venezuela) Sierra Nevada Ski Station, a ski resort in Spain Other uses Sierra Nevada (ferry), a ferry operated on San Francisco Bay macOS Sierra, version 10.12 of the macOS operating system Sierra Nevada Brewing Company, a California beer brewer Sierra Nevada Corporation, an aerospace contractor See also Sieranevada, 2016 Romanian film Nevada (disambiguation) Sierra (disambiguation)","Sierra Nevada is a group of big mountains. It is in the west of America.

Many other things are also called Sierra Nevada.

Some are other groups of mountains:
- One is in Spain.
- One is in Mexico.
- One is in Chile and Argentina.
- One is in Venezuela.
- One is in Colombia.

Some are other places:
- A big volcano in Chile is called Sierra Nevada.
- A park in Spain is called Sierra Nevada National Park.
- A park in Venezuela is called Sierra Nevada National Park.
- A place to ski in Spain is called Sierra Nevada Ski Station.

Other things are also called Sierra Nevada:
- A boat in America is called Sierra Nevada.
- A computer program is called macOS Sierra.
- A company that makes drinks is called Sierra Nevada Brewing Company.
- A company that builds space things is called Sierra Nevada Corporation.","Sierra Nevada is a group of big mountains in the western part of the United States.

But 'Sierra Nevada' can mean other things too.

It can be a group of mountains in the western USA, or a group of mountains in southern Spain. It can also be a group of volcanoes in central-southern Mexico. There is a group of volcanoes in Chile and Argentina called Sierra Nevada de Lagunas Bravas. And there are groups of mountains in Venezuela called Sierra Nevada de Mérida, and in Colombia called Sierra Nevada de Santa Marta.

'Sierra Nevada' can also be a volcano in Chile. There are special parks called Sierra Nevada National Park in Spain and in Venezuela. And there is a place to ski in Spain called Sierra Nevada Ski Station.

'Sierra Nevada' is also part of these names: a boat that carries people across San Francisco Bay, called Sierra Nevada; a computer program called macOS Sierra; a company in California that makes beer, called Sierra Nevada Brewing Company; and a company that builds things for space, called Sierra Nevada Corporation.

You might also hear about a movie from 2016 called Sieranevada. And the words 'Nevada' and 'Sierra' can each mean many different things.","The Sierra Nevada is a mountain range located in the western United States.

The name ""Sierra Nevada"" also refers to several other places and things. These include other mountain ranges:
*   The Sierra Nevada in southern Spain.
*   The Trans-Mexican Volcanic Belt in central-southern Mexico, also known as Sierra Nevada.
*   Sierra Nevada de Lagunas Bravas, a volcanic complex in Chile and Argentina.
*   Sierra Nevada de Mérida, a mountain range in Venezuela.
*   Sierra Nevada de Santa Marta, a mountain range in Colombia.

Other locations named Sierra Nevada are:
*   Sierra Nevada, a stratovolcano in Chile.
*   Sierra Nevada National Park in Spain.
*   Sierra Nevada National Park in Venezuela.
*   Sierra Nevada Ski Station, a ski resort in Spain.

Additionally, ""Sierra Nevada"" is used for other things:
*   The Sierra Nevada ferry, which operates on San Francisco Bay.
*   macOS Sierra, version 10.12 of the macOS operating system.
*   Sierra Nevada Brewing Company, a California beer brewer.
*   Sierra Nevada Corporation, an aerospace contractor.

You might also be looking for:
*   Sieranevada, a 2016 Romanian film.
*   Nevada (disambiguation)
*   Sierra (disambiguation)"
"Kansas City Blues may refer to:: Sport Kansas City Blues (1885-1901), an early minor league baseball franchise Kansas City Blues (Western League), an 1898–1900 baseball team of the Western League Kansas City Blues (American Association), a 1902–54 minor-league baseball team Kansas City Blues (USA Rugby), a Rugby Super League team founded in 1966 Kansas City Blues (ice hockey), a minor-league hockey team Kansas City Blues (NFL), a Kansas City-based NFL team in 1924 Kansas City Blues (AFL), a 1934 American Football League team Music Blues#Urban_blues, a subgenre of blues music known as Kansas City blues ""Jim Jackson's Kansas City Blues"", a song by Blues singer Jim Jackson","Kansas City Blues means different things.

It can be a baseball team.
One team was Sport Kansas City Blues.
It played from 1885 to 1901.
It was an old, small team.

Another baseball team was Kansas City Blues.
It played from 1898 to 1900.

Another baseball team was Kansas City Blues.
It played from 1902 to 1954.
It was a small team.

It can be a rugby team.
It is called Kansas City Blues.
It started in 1966.

It can be a hockey team.
It is called Kansas City Blues.
It is a small team.

It can be an NFL team.
It was called Kansas City Blues.
It was from Kansas City.
It played in 1924.

It can be an AFL team.
It was called Kansas City Blues.
It played in 1934.

It can also mean music.
It is a kind of blues music.
People call it Kansas City blues.

It can be a song.
The song is ""Jim Jackson's Kansas City Blues.""
Jim Jackson sang it.
He was a blues singer.","Kansas City Blues can mean different things.

It can be a baseball team called Sport Kansas City Blues. This team played a long time ago, from 1885 to 1901.
It can be another baseball team called Kansas City Blues. This team played from 1898 to 1900 in the Western League.
It can be a third baseball team called Kansas City Blues. This team played from 1902 to 1954.
It can be a rugby team called Kansas City Blues. This team started in 1966.
It can be a hockey team called Kansas City Blues.
It can be an American football team called Kansas City Blues. This team played in 1924 in Kansas City.
It can be another American football team called Kansas City Blues. This team played in 1934.

It can be a type of music called Kansas City blues. It is a kind of blues music.
It can be a song called ""Jim Jackson's Kansas City Blues."" A singer named Jim Jackson sang this song.","The term ""Kansas City Blues"" can refer to:

**Sports Teams:**
*   **Baseball:**
    *   The Sport Kansas City Blues, an early minor league franchise (1885-1901).
    *   A Kansas City Blues team that was part of the Western League (1898-1900).
    *   A minor-league Kansas City Blues team that played in the American Association (1902-1954).
*   **Rugby:**
    *   The Kansas City Blues (USA Rugby), a Rugby Super League team established in 1966.
*   **Ice Hockey:**
    *   The Kansas City Blues, a minor-league hockey team.
*   **American Football:**
    *   The Kansas City Blues, an NFL team based in Kansas City in 1924.
    *   A Kansas City Blues team from the 1934 American Football League.

**Music:**
*   A subgenre of blues music known as Kansas City blues.
*   The song ""Jim Jackson's Kansas City Blues,"" by blues singer Jim Jackson."
"Alypius of Antioch was a geographer and a vicarius of Roman Britain, probably in the late 350s AD. He replaced Flavius Martinus after that vicarius' suicide. His rule is recorded is Ammianus XXIII 1, 3. Life He came from Antioch and served under Constantius II and was probably appointed to ensure that nobody with western associations was serving in Britain during a time of mistrust, rebellion and suppression symbolised by the brutal acts of the imperial notary Paulus Catena. He may have had to deal with the insurrection of the usurper named Carausius II. Alypius was afterwards commissioned to rebuild the Temple in Jerusalem as part of Julian's systematic attempt to reverse the Christianization of the Roman Empire by restoring pagan and, in this case, Jewish practices. Among the letters of Julian are two (29 and 30) addressed to Alypius; one inviting him to Rome, the other thanking him for a geographical treatise, which no longer exists. References Sources Todd, M., Roman Britain, Fontana, London 1985 Salway, P., Roman Britain, Oxford, 1986 Jews and Judaism in the Roman Empire Ancient Romans in Britain People from Antioch Roman-era geographers Roman governors of Britain 4th-century Romans Late-Roman-era pagans 4th-century geographers","Alypius was from Antioch.
He knew about maps.
He was a leader in Roman Britain.
This was a long, long time ago, around the year 350.

He took the place of Flavius Martinus.
Flavius Martinus was a leader too. He died.
People wrote about what Alypius did. This is in a book.

Alypius worked for a man named Constantius II.
He was chosen to make sure people from the west did not work in Britain.
This was because people did not trust each other.
There was fighting.
A man named Paulus Catena did bad things.

Alypius might have had to stop a man named Carausius II.
Carausius II tried to take power.

Later, Alypius was asked to build the Temple in Jerusalem again.
A man named Julian wanted to change things back.
He did not want people to be Christians.
He wanted people to follow old ways.
Some were pagan ways. Some were Jewish ways.

Julian wrote two letters to Alypius.
One letter asked him to come to Rome.
The other letter thanked him for a book about maps.
This book is gone now.","Alypius came from Antioch. He studied maps and the Earth. He was also a very important leader in Roman Britain around the year 350 AD. He took the place of another leader named Flavius Martinus. Flavius Martinus had killed himself. We can read about Alypius's time as leader in a book called Ammianus (part XXIII, 1, 3).

Alypius worked for an emperor named Constantius II. He was probably chosen to make sure that no one from the western part of the empire was working in Britain. This was because people did not trust each other then. There were also fights and people were being put down. A man named Paulus Catena did cruel things, which showed how bad this time was. Alypius might have had to stop a fight started by a man named Carausius II, who tried to take power.

Later, Alypius was asked to build the Temple in Jerusalem again. This was part of a plan by an emperor named Julian. Julian wanted to undo the spread of Christianity in the Roman Empire. He wanted to bring back old religions, like pagan and Jewish ways. Emperor Julian wrote two letters (number 29 and 30) to Alypius. In one letter, he asked Alypius to come to Rome. In the other, he thanked Alypius for a book he wrote about maps and the Earth. This book is now lost.","Alypius of Antioch was a geographer and a high-ranking Roman official, known as a vicarius, in Roman Britain, probably during the late 350s AD. He took over the position after the previous vicarius, Flavius Martinus, committed suicide. Alypius's time in office is recorded in the historical work of Ammianus (XXIII 1, 3).

He came from Antioch and served under Emperor Constantius II. Alypius was likely appointed to ensure that no officials with ties to the western Roman Empire were serving in Britain. This was a period marked by deep mistrust, rebellion, and harsh suppression, symbolized by the brutal actions of an imperial official named Paulus Catena. Alypius may also have had to deal with a rebellion led by a usurper named Carausius II.

Later, Alypius was commissioned to rebuild the Temple in Jerusalem. This project was part of Emperor Julian's systematic effort to reverse the spread of Christianity in the Roman Empire by restoring pagan and, in this case, Jewish religious practices. Among Emperor Julian's letters are two (numbers 29 and 30) addressed to Alypius: one inviting him to Rome, and the other thanking him for a geographical book he had written, which no longer exists today."
"a method for simulation of elastoplastic solids in multibody systems with nonsmooth and multidomain dynamics is developed . the solid is discretised into pseudo - particles using the meshfree moving least squares method . the particles carry strain and stress tensor variables that are mapped to deformation constraints and constraint forces . the discretised solid model thus fit a unified framework for nonsmooth multidomain dynamics for realtime simulations including strong coupling of rigid multibodies with complex kinematic constraints such as articulation joints , unilateral contacts with dry friction , drivelines and hydraulics . the nonsmooth formulation allow for impulses , due to impacts for instance , to propagate instantly between the rigid multibody and the solid . plasticity is introduced through an associative perfectly plastic modified drucker - prager model . the elastic and plastic dynamics is verified for simple test systems and the capability of simulating tracked terrain vehicles driving on a deformable terrain is demonstrated .","We made a way to show how things move. These things can squish and stretch and stay squished or stretched. Many parts move together. They can bump and touch in many places.

We break the big thing into tiny dots. We use a special way to do this. These tiny dots know how much they are squished or pulled. This helps us know how they bend and push each other.

This way helps us show how things move. It works for when things bump and touch. We can see it happen right away. It works with hard things that move together. Like robot arms that bend. Or when things slide and rub. It also works for car engines and water pumps.

Our way lets us show sudden pushes. Like when things crash. The push moves very fast between the hard parts and the squishy parts.

We also show how things can stay bent. We use a special math rule for this.

We checked how well it works for simple things that stretch and bend. And we showed it can make pretend cars with tracks drive on soft ground.","We made a new way for computers to show how squishy and stretchy things move when they are part of many moving pieces, even when things bump or change quickly. We break the squishy thing into many tiny pretend dots using a special computer trick. These tiny dots hold information about how much they are stretching or squishing. This helps the computer know how they should bend and what forces are acting on them. This model of tiny dots fits into a big computer system. This system can show many moving parts, even stiff ones, moving together in real-time. It can show tricky movements like hinges, things rubbing, parts that make cars go, and parts that use liquid power. Because of how we set it up, when things hit each other, the push or bump travels right away between the stiff parts and the squishy part. We made it so the squishy thing can stay squished using a special math rule. We checked that the stretching and squishing parts work well with simple tests. We also showed that it can pretend to have big vehicles with tracks driving on ground that squishes and changes shape.","A new method has been developed to simulate materials that can deform both temporarily and permanently (elastoplastic solids) within systems made of many connected parts (multibody systems). This method handles situations where forces change suddenly (nonsmooth dynamics) and where different types of physics interact (multidomain dynamics).

The solid material is broken down into many small, imaginary ""pseudo-particles"" using a technique called the meshfree moving least squares method. Each of these particles holds information about its deformation (strain) and internal forces (stress). This information is then used to define how the particles can deform and the forces that control their movement.

This particle-based solid model fits into a single system designed for complex, real-time simulations that involve sudden changes and different types of physics. It allows for strong connections between rigid parts, even with complex movement rules like those found in articulation joints, one-way contacts with friction, drivelines, and hydraulic systems. Because of how this method handles sudden changes, forces from impacts (impulses) can instantly travel between the rigid parts and the deformable solid.

The permanent deformation (plasticity) of the material is modeled using a specific mathematical approach called the associative perfectly plastic modified Drucker-Prager model. The way the material deforms both temporarily (elastically) and permanently (plastically) has been tested and confirmed using simple examples. The method's ability to simulate vehicles with tracks, like tanks, driving on ground that can deform, has also been demonstrated."
