"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"an interaction between dark matter and dark energy , proportional to the product of their energy densities , results in a scaling behavior of the ratio of these densities with respect to the scale factor of the robertson - walker metric . this gives rise to a class of cosmological models which deviate from the standard model in an analytically tractable way . in particular , it becomes possible to quantify the role of potential dark - energy perturbations . we investigate the impact of this interaction on the structure formation process . using the ( modified ) camb code we obtain the cmb spectrum as well as the linear matter power spectrum . it is shown that the strong degeneracy in the parameter space present in the background analysis is considerably reduced by considering _ planck _ data . our analysis is compatible with the @xmath0cdm model at the @xmath1 confidence level with a slightly preferred direction of the energy flow from dark matter to dark energy .","an interaction between dark matter and dark energy results in a scaling behavior of the ratio of these den","an interaction between dark matter and dark energy results in a scaling behavior of the ratio of these den","an interaction between dark matter and dark energy results in a scaling behavior of the ratio of these den"
"voltage - driven 180@xmath0 magnetization switching without electric current provides the possibility for revolutionizing the spintronics . we demonstrated the voltage - driven charge - mediated 180@xmath0 magnetization switching at room temperature by combining first - principles calculations and temperature - dependent magnetization dynamics simulation . the electric field ( @xmath1 ) induced interface charge is found to allow a giant modulation of the magnetic anisotropy ( @xmath2 ) of the nanomagnet . particularly @xmath2 is revealed to vary linearly with respect to @xmath1 and the epitaxial strain . magnetization dynamics simulations using the so - obtained @xmath2 show that both in - plane and perpendicular 180@xmath0 switching can be achieved by @xmath1 pulses . the temperature effect renders the 180@xmath0 switching as probability events . statistical analysis indicates a fast ( around 2 ns ) and deterministic 180@xmath0 switching achievable at room temperature by controlling the magnitude of e and the pulse width . the study inspires the rational design of miniaturized nanoscale spintronic devices where finite temperature effect has a great impact .","voltage - driven 180@xmath0 magnetization switching without electric current provides the possibility for","voltage - driven 180@xmath0 magnetization switching without electric current provides the possibility for","voltage - driven 180@xmath0 magnetization switching without electric current provides the possibility for"
"(CNN) -- Former Detroit mayor Kwame Kilpatrick is headed back behind bars, but only for a few days. The Michigan Department of Corrections charged him with 14 parole violations late Thursday and he'll spend the weekend in jail. Kilpatrick agreed to report to the Detroit Reentry Center late Friday and will be released Monday, according to Corrections spokesman Russell Marlan. Kilpatrick is currently on trial in a public corruption case in U.S. District Court. His release would allow him to be back in court next week. The 14 violations include submitting a false and inaccurate report to a field agent by failing to report money transfers and cash gifts, as well as failing to report several months of his income, according to an e-mail from Russell. Kilpatrick is on parole after a 2008 state conviction for obstruction of justice. By the numbers: Politicians in trouble .","Kwame Kilpatrick is charged with 14 parole violations late Thursday. he will be released","Kwame Kilpatrick is charged with 14 parole violations late Thursday. he will be released","Kwame Kilpatrick is charged with 14 parole violations late Thursday. he will be released"
"In telecommunication, the term conditioning equipment has the following meanings: At junctions of circuits, equipment used to obtain desired circuit characteristics, such as matched transmission levels, matched impedances, and equalization between facilities. Corrective networks used to improve data transmission, such as equalization of the insertion loss-vs.-frequency characteristic and the envelope delay distortion over a desired frequency range. References Communication circuits","equipment used to obtain desired circuit characteristics. matched transmission levels, matched impedances","equipment used to obtain desired circuit characteristics. matched transmission levels, matched impedances","equipment used to obtain desired circuit characteristics. matched transmission levels, matched impedances"
"(CNN) -- A U.S. soldier who escaped Army custody while facing a rape charge in California has been returned to Los Angeles County, authorities said Monday. Pvt. Daniel Brazelton, 20, who is accused of raping a 15-year-old girl in Los Angeles, was captured at a motel in Daytona Beach, Florida, late Friday. He was returned to California the next day. Brazelton is being held on $325,000 bail and is scheduled to appear in Lancaster Court on March 23, the Los Angeles County Sheriff's Department said. He escaped from military custody on February 11 while he was being returned to a jail in Hinesville, Georgia. He had been taken to nearby Fort Stewart for medical reasons, authorities said. It was not clear whether Brazelton had retained defense counsel.","a 20-year-old escaped from military custody while facing a rape charge","a 20-year-old escaped from military custody while facing a rape charge","a 20-year-old escaped from military custody while facing a rape charge"
"The Great Rebellion or Great Revolt is a term that is generally used in English for the following conflicts: First Jewish–Roman War in 66–73 CE, also known as the Great Revolt of Judaea Peasants' Revolt in England in 1381, also called Wat Tyler's Rebellion English Civil War in 1642–1651, also called English Revolution Rebellion of Túpac Amaru II in 1780–83, against Bourbon reforms in the Spanish Viceroyalty of Peru Wars of the Three Kingdoms, an intertwined series of conflicts that took place in England, Ireland and Scotland between 1639 and 1651, including the English Civil War Indian Rebellion of 1857, against the British East India Company In the northern states of the US, an alternate term used in naming the American Civil War (1861–65) East Timorese rebellion of 1911–12 against Portuguese colonial authorities Arab Revolt or Great Arab Revolt of 1917 (; ), against the Ottoman Empire 1936–1939 Arab revolt in Palestine, that would come to be known as ""the Great Revolt"". Fiction The war against the Evil Horde in She-Ra: Princess of Power The Butlerian Jihad, an event in Frank Herbert's fictional Dune universe See also List of revolutions and rebellions","the Great Rebellion or Great Revolt is a term used in English for the following conflicts","the Great Rebellion or Great Revolt is a term used in English for the following conflicts","the Great Rebellion or Great Revolt is a term used in English for the following conflicts"
"Loic Remy has played his last game for Newcastle United after not being included in the squad for Sunday’s trip to Liverpool. It was suggested earlier in the day that the French forward had pulled out of the game and the club later said he had picked up a knock in training. Top scorer: Loic Remy has bagged 14 goals for Newcastle this season but will not be back at the club next season . Out: Reny missed the final game of the season at Liverpool because of injury . Ambition: Remy wants to move to one of Europe's top clubs this summer . Remy’s season-long loan deal with the Magpies expires following the final-day clash against the Reds. The Queens Park Rangers striker - who looks set to be included in the France squad for this summer’s World Cup - has already declared his intention to join a ‘top European club’ ahead of next season. Remy scored 14 goals for United during his season on Tyneside and has attracted interest from North London rivals Arsenal and Spurs. Meanwhile, compatriot Hatem Ben Arfa was also absent from the Newcastle squad which travelled to Anfield as his first-team exile continued.","the french forward missed the final game of the season at the club. the england","the french forward missed the final game of the season at the club. the england","the french forward missed the final game of the season at the club. the england"
"The class Heterotardigrada includes tardigrades (water bears) that have cephalic appendages and legs with four separate but similar digits or claws on each. 444 species have been described. Anatomy The anatomy of the reproductive system is an important defining feature in distinguishing the different groups of tardigrades. Heterotardigrades have gonoducts that open to the outside through a preanal gonopore, rather than opening into the rectum as in the only other confirmed class of tardigrades, the Eutardigrada. The third class, Mesotardigrada, is represented by a single species known from a single specimen that is now lost, and the location from which that specimen was collected has since been destroyed by an earthquake, so its reproductive anatomy has not been studied recently. Ecology Some orders of heterotardigrades are marine, others are terrestrial, but as for all tardigrades, all are aquatic in the sense that they must be surrounded by at least a film of moisture in order to be active – though they can survive in a dormant state if the habitat dries out. References Protostome classes Taxa named by Ernst Marcus (zoologist)","the class Heterotardigrada includes tardigrades that have cephalic append","the class Heterotardigrada includes tardigrades that have cephalic append","the class Heterotardigrada includes tardigrades that have cephalic append"
"Abyssinia is a historical name for the Ethiopian Empire Abyssinia may also refer to: Languages Ethiopian Semitic languages, mainly found in the Amhara Region and Tigray Region of Ethiopia People Abyssinian people, the Amhara and the Tigrayans Places Abyssinia Lines, a neighbourhood of Jamshed Town in Karachi, Sindh, Pakistan Apostolic Vicariate of Abyssinia, the former Eastern Catholic missionary Arts and media Abyssinia, a theatrical show by Bert Williams Abyssinia (musical), a show first staged in 1987 ""Abyssinia"", a song by the Patti Smith Group on Radio Ethiopia ""Abyssinia, Henry"", an episode of the television series M*A*S*H Vessels SS Abyssinia, an 1870 Canadian Pacific steamship HMS Abyssinia (1870), a British armoured ship Other uses Abyssinia (battle honour) Abyssinia Creek, The Pilbara, Western Australia See also Abyssinian (disambiguation) Habash (disambiguation) Habishi (disambiguation) History of Ethiopia","abyssinia is a historical name for the Ethiopian Empire. it","abyssinia is a historical name for the Ethiopian Empire. it","abyssinia is a historical name for the Ethiopian Empire. it"
"Crosstalk refers to any signal or circuit unintentionally affecting another signal or circuit. Crosstalk may also refer to: Science and computing Crosstalk (biology) Crosstalk Mk.4, a communications application for PCs. Arts and entertainment Cross talk, a style of comedy used in performance by double acts Xiangsheng, also translated as ""crosstalk"", a traditional Chinese comedic monologue or dialogue Crosstalk (novel), a 2016 novel by American science fiction author Connie Willis Crosstalk (film), a 1982 science fiction thriller film Cross Talk, a 1980 album by the Pretty Things Crosstalk: American Speech Music, a compilation album by the produced by Mendi + Keith Obadike CrossTalk (TV series), a television program on the Russian-based international broadcaster RT Cross Talk, a defunct radio show hosted by Indian RJ Balaji","crosstalk refers to any signal or circuit unintentionally affecting another signal or circuit","crosstalk refers to any signal or circuit unintentionally affecting another signal or circuit","crosstalk refers to any signal or circuit unintentionally affecting another signal or circuit"
"three , interrelated biologically - relevant examples of biased random walks are presented : ( 1 ) a model for dna melting , modelled as dna unzipping , which provides a way to illustrate the role of the boltzmann factor in a venue well - known to biology and pre - medical students ; ( 2 ) the activity of helicase motor proteins in unzipping double - stranded dna , for example , at the replication fork , which is an example of a brownian ratchet ; ( 3 ) force generation by actin polymerization , which is another brownian ratchet , and for which the force and actin - concentration dependence of the velocity of actin polymerization is determined . a","dna melting modelled as dna unzipping. helicase","dna melting modelled as dna unzipping. helicase","dna melting modelled as dna unzipping. helicase"
"Peking or Beijing is the capital city of the People's Republic of China. Peking may also refer to: Peking (ship), a 1911 German square-rigged sailing ship launched 2045 Peking, an asteroid named for the city SS City of Peking, an 1874 American iron steamship built Peking Plan, a 1939 operation in which three Polish Navy destroyers evacuated to the United Kingdom Peking Man, formally Homo erectus pekinensis, an ancient hominin Local nickname of the Swedish town Norrköping See also Pekingese Beijing (disambiguation) Beijingese (disambiguation) Pekin (disambiguation) Pekin duck (disambiguation)","peking is the capital city of the people's Republic of China. it is a","peking is the capital city of the people's Republic of China. it is a","peking is the capital city of the people's Republic of China. it is a"
"(CNN) -- Actress Keira Knightley is engaged to James Righton, the keyboardist and singer with British rock band Klaxons, her publicist said Monday. Knightley's publicist, Sara Keene, said there would be no further details. People Magazine reports the couple has been together for about a year, following Knightley's split from actor Rupert Friend. Knightley appeared in the ""Pirates of the Caribbean"" movies and other films including ""Atonement,"" ""Pride & Prejudice,"" and ""Love Actually."" She also appears as Anna Karenina in the upcoming movie of the same name. Klaxons won the 2007 Mercury Music Prize in Britain for their debut album, ""Myths of the Near Future,"" which featured the hit ""Golden Skans."" Their latest album, ""Surfing the Void,"" was released in 2010.","actor Keira Knightley is engaged to keyboardist and singer, her publicist says. she","actor Keira Knightley is engaged to keyboardist and singer, her publicist says. she","actor Keira Knightley is engaged to keyboardist and singer, her publicist says. she"
"A sojourner is a person who resides temporarily in a place. Sojourner may also refer to: Sojourner Truth (1797–1883), abolitionist and women's rights activist Albert Sojourner (1872-1951), member of the Mississippi House of Representatives Melanie Sojourner (born 1968) member of the Mississippi State Senate Mike Sojourner (born 1953), American retired National Basketball League player Willie Sojourner (1943–2005), basketball player and brother of Mike Sojourner Sojourner (rover), a robotic rover that was part of the Mars Pathfinder mission Sojourner (album) a box set by the alternative country band Magnolia Electric Co. Sojourners, a Christian monthly magazine Sojourner, a member of the DC Comics superhero team Hellenders See also Sojourner-Douglass College, a private learning institution named after the abolitionist Sojourner Bolt, the ring name of wrestler Josette Bynum Sojourn (disambiguation)","sojourner is a woman's rights activist who resides temporarily in a place","sojourner is a woman's rights activist who resides temporarily in a place","sojourner is a woman's rights activist who resides temporarily in a place"
"(CNN) -- Firefighters in Clinton, North Carolina, discovered six bodies inside what remained of a mobile home that burned early Saturday morning. There was no immediate sign of foul play, the Sampson County Sheriff's Office said, but investigators are processing the location as a potential crime scene until the cause of the blaze is determined and autopsies are completed. The single-wide mobile home caught fire around 1 a.m.. The victims have not yet been identified, the sheriff's office said. The sheriff's office, local fire marshal's office, the North Carolina State Bureau of Investigation and the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) are investigating. Clinton is about 25 miles east of Fayetteville.","the mobile home caught fire around 1 a.m.. there was no immediate sign of","the mobile home caught fire around 1 a.m.. there was no immediate sign of","the mobile home caught fire around 1 a.m.. there was no immediate sign of"
"Prescott may refer to: People Given name Prescott E. Bloom, American lawyer and politician Prescott Bush, American banker and politician Samuel Prescott Bush, American industrialist Samuel Prescott Hildreth, American physician, scientist, and historian James Prescott Joule, English physicist Surname See: Prescott (surname) Places Canada Prescott, Ontario Prescott Island, Nunavut England Prescott, Gloucestershire United States Prescott, Arizona Prescott, Arkansas Prescott, Indiana Prescott, Iowa Prescott, Kansas Prescott, Massachusetts Prescott, Michigan Prescott, Missouri Prescott, Oregon Prescott Township, Minnesota Prescott, Washington Prescott, Wisconsin Other uses Prescott and Northwestern Railroad, in Arkansas, US Prescott College, in Arizona, US Prescott Group, a fictional company and its eponymous subsidiaries, created by Stephen Colbert Prescott Observatory, in Arizona, US Prescott Schools, in Adelaide, Australia Prescott Speed Hillclimb, a motorsport event in Gloucestershire, England Prescott, the code name of a generation of Intel Pentium 4 processors See also Prescot, a town in Merseyside, England","Prescott may refer to: Prescott E. Bloom,. american lawyer and politician Prescott","Prescott may refer to: Prescott E. Bloom,. american lawyer and politician Prescott","Prescott may refer to: Prescott E. Bloom,. american lawyer and politician Prescott"
"in social networks of human individuals , social relationships do not necessarily last forever as they can either fade gradually with time , resulting in `` link aging '' , or terminate abruptly , causing `` link deletion '' , as even old friendships may cease . in this paper , we study a social network formation model where we introduce several ways by which a link termination takes place . if we adopt the link aging , we get a more modular structure with more homogeneously distributed link weights within communities than when link deletion is used . by investigating distributions and relations of various network characteristics , we find that the empirical findings are better reproduced with the link deletion model . this indicates that link deletion plays a more prominent role in organizing social networks than link aging .","in social networks of human individuals, social relationships do not necessarily last forever as they either fade gradually","in social networks of human individuals, social relationships do not necessarily last forever as they either fade gradually","in social networks of human individuals, social relationships do not necessarily last forever as they either fade gradually"
"the spectral excess theorem for distance - regular graphs states that a regular ( connected ) graph is distance - regular if and only if its spectral - excess equals its average excess . a bipartite graph @xmath0 is distance - biregular when it is distance - regular around each vertex and the intersection array only depends on the stable set such a vertex belongs to . in this note we derive a new version of the spectral excess theorem for bipartite distance - biregular graphs .","the spectral excess theorem for distance - regular graphs states that a","the spectral excess theorem for distance - regular graphs states that a","the spectral excess theorem for distance - regular graphs states that a"
"(CNN) -- In the world of diving, this is as good as it gets. Standing on a platform some 27 meters high with Bilbao's Nervion River flowing underneath, the view from La Salve Bridge is something to behold. The spectacular Guggenheim Museum provides a breathtaking backdrop for those brave enough to leap into the water from a platform three times higher than those used at the Olympic Games. The Red Bull Cliff Diving World Series brings together some of the best in the business and the 52,000 which flocked to see the likes of Russia's Artem Silchenko and overall champion, Gary Hunt, were not to be disappointed. The 14 men from across the world produced a number of breathtaking dives, hitting the water at 85 kilometers an hour during the event which has been held every year since 2009. While Silchenko won the Bilbao event, Hunt finished second as the Briton secured his fourth world title in five years.","the red bull Cliff Diving world series brings together some of the best in the business. the","the red bull Cliff Diving world series brings together some of the best in the business. the","the red bull Cliff Diving world series brings together some of the best in the business. the"
"Arensnuphis (in Egyptian: Iryhemesnefer, ỉrỉ-ḥms-nfr, ""the good companion"") is a deity from the Kingdom of Kush in ancient Nubia, first attested at Musawwarat el-Sufra in the 3rd century BC. His worship spread to the Egyptian-controlled portion of Nubia in the Ptolemaic Period (305–30 BC). His mythological role is unknown; he was depicted as a lion and as a human with a crown of feathers and sometimes a spear. Arensnuphis was worshipped at Philae, where he was called the ""companion"" of the Egyptian goddess Isis, as well as at Dendur. In the ancient Egyptian religion, the Egyptians syncretized him with their gods Anhur and Shu. References Nubian gods Egyptian gods","Arensnuphis was worshipped at Philae, where he was called the","Arensnuphis was worshipped at Philae, where he was called the","Arensnuphis was worshipped at Philae, where he was called the"
"A former Guantanamo Bay detainee from Britain appeared in a London court Saturday, charged with Syria-related terrorism offenses, UK police said. Moazzam Begg, 45, from Birmingham, is accused of providing instruction and training for terrorism and funding terrorism overseas, West Midlands Police said. A 44-year-old woman, Gerrie Tahari, also from Birmingham, is also accused of funding terrorism overseas. Both suspects, who were arrested Tuesday and charged late Friday, denied the charges at Westminster Magistrates' Court. They were remanded in custody to appear at the Old Bailey criminal court in London on March 14. Two other men, aged 20 and 36, who were also arrested on Tuesday remain in custody, the police said. Begg was arrested as a suspected al Qaeda member in Pakistan in February 2002 and was held at the U.S. airbase at Bagram, Afghanistan, before being sent to the U.S. prison camp at Guantanamo Bay, Cuba. Begg spent nearly three years in custody. He was sent back to Britain by the Bush administration in early 2005 and was never prosecuted. He co-authored a book about his experiences at Guantanamo Bay in 2006 and has appeared as a public speaker and commentator in Britain and overseas since his release.","moazzam Begg, 45, from Birmingham, is accused of providing instruction and training for","moazzam Begg, 45, from Birmingham, is accused of providing instruction and training for","moazzam Begg, 45, from Birmingham, is accused of providing instruction and training for"
"Pilate most commonly refers to Pontius Pilate Pilate may also refer to: Pilate (band), now called Pilot Speed, a Canadian rock band formed in 1999 in Toronto, Ontario ""Pilate"" (song), a song by Pearl Jam from their fifth album, Yield, released in 1998 Pilate, Haiti, a small town in Haiti Lago di Pilato, a glacial mountain lake, Italy People with the surname Pilate Felton Pilate (born 1952), American musician See also Pilates, physical fitness system Pilatus (disambiguation) Pilat (disambiguation) Pilati (disambiguation) Pilot (disambiguation)","Pilate is a song by pearl jam from their fifth album, Yield. the band","Pilate is a song by pearl jam from their fifth album, Yield. the band","Pilate is a song by pearl jam from their fifth album, Yield. the band"
"we show that the newly measured branching ratios of vector charmonia ( @xmath0 , @xmath1 and @xmath2 into @xmath3 , where @xmath4 stands for light pseudoscalar mesons @xmath5 , @xmath6 , and @xmath7 , can be well understood in the framework of vector meson dominance ( vmd ) in association with the @xmath8-@xmath9 mixings due to the axial gluonic anomaly . these two mechanisms behave differently in @xmath0 and @xmath10 . a coherent understanding of the branching ratio patterns observed in @xmath11 can be achieved by self - consistently including those transition mechanisms at hadronic level . the branching ratios for @xmath12 are predicted to be rather small .","the newly measured branching ratios of vector charmonia ( @xmath0, @","the newly measured branching ratios of vector charmonia ( @xmath0, @","the newly measured branching ratios of vector charmonia ( @xmath0, @"
"Client(s) or The Client may refer to: Client (business) Client (computing), hardware or software that accesses a remote service on another computer Customer or client, a recipient of goods or services in return for monetary or other valuable considerations Client (ancient Rome), an individual protected and sponsored by a patron Client (band), a British synthpop band Client (album), a 2003 album by Client Clients (album), a 2005 album by The Red Chord The Client (novel), a 1993 legal thriller by John Grisham The Client (1994 film), a film adaptation The Client (TV series), a 1995–1996 television series adaptation The Client (Star Wars), a character in The Mandalorian The Client (2011 film), a South Korean courtroom thriller ""The Client"" (The Office), an episode of The Office See also Client (prostitution) Client state, which is economically, politically, or militarily subordinate to another more powerful state","Client (business) Client (computing), hardware or software that accesses a remote","Client (business) Client (computing), hardware or software that accesses a remote","Client (business) Client (computing), hardware or software that accesses a remote"
"Year 109 (CIX) was a common year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Palma and Tullus (or, less frequently, year 862 Ab urbe condita). The denomination 109 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Roman Empire June 24 – The Aqua Traiana is inaugurated by Emperor Trajan; the aqueduct channels water from Lake Bracciano, north-west of Rome. The Via Traiana is constructed at the Emperor Trajan's personal expense; the road connects Benevento with Brundisium (Brindisi). The Baths of Trajan, built by the architect Apollodorus of Damascus, are dedicated during the Calends. The thermae are constructed on the platform of the Palace of Nero (Domus Aurea) in Rome. Osroes I of Parthia succeeds his brother Pacorus II, and rules over the western Parthian Empire. Pliny the Younger is legate to Bithynia. By topic Religion The Christian Church proclaims itself to be universal (catholic). References","the denomination 109 for this year has been used since the early medieval period. the a","the denomination 109 for this year has been used since the early medieval period. the a","the denomination 109 for this year has been used since the early medieval period. the a"
"(CNN) -- The 9-year-old boy who sneaked onto a plane for a trip to Las Vegas is back in his hometown of Minneapolis, a family spokesman said Saturday night. Spokesman V. J. Smith would not provide details. He said he would speak with the boy's father Sunday. Crew members aboard a Delta Air Lines flight October 3 became suspicious of their child passenger and then found that he had no ticket or boarding pass. He was placed in a foster home as authorities began an investigation. The Transportation Security Administration has said the boy went through security at Minneapolis-St. Paul International Airport, although it has not explained how he did so without a boarding pass. An airport spokesman said video shows the boy chatted with a Delta agent when he reached the gate and moved toward the plane when the agent became distracted. Father: 'No one stepped up to help' 'He's got a behavioral problem,' dad says . CNN's Janet DiGiacomo contributed to this report.","the boy was on a flight to Las Vegas on a flight to the u.s","the boy was on a flight to Las Vegas on a flight to the u.s","the boy was on a flight to Las Vegas on a flight to the u.s"
"Year 289 (CCLXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Bassus and Quintianus (or, less frequently, year 1042 Ab urbe condita). The denomination 289 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Roman Empire In this or the following year, Emperor Diocletian campaigns with success against the Sarmatians. The future emperor Galerius may have distinguished himself during this campaign. In this or the following year, Maximian attempts to reconquer Britain from the usurper Carausius but is defeated at sea. Births Flavia Maxima Fausta, Roman empress (d. 326) Yu Liang (or Yuangui), Chinese politician (d. 340) Deaths Alexander of Rome, Christian martyr Kyriaki the Great, Christian martyr Xun Xu (or Gongzeng), Chinese official References","year 289 was a common year starting on Tuesday. it was known as the year of","year 289 was a common year starting on Tuesday. it was known as the year of","year 289 was a common year starting on Tuesday. it was known as the year of"
"The year 670 BC was a year of the pre-Julian Roman calendar. In the Roman Empire, it was known as year 84 Ab urbe condita . The denomination 670 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events King Gyges of Lydia mints the first Greek coins. Miletus begins establishing colonies in the Black Sea and Mediterranean Sea. Metallurgy was invented Births Deaths References 670s BC","the year 670 BC was a year of the pre-Julian Roman calendar.","the year 670 BC was a year of the pre-Julian Roman calendar.","the year 670 BC was a year of the pre-Julian Roman calendar."
"in this paper it is demonstrated that based on two - dimensional distributions in semi - inclusive deep inelastic scattering ( sidis ) data , obtained recently by the hermes experiment at desy on different nuclei , which contains data for charged pions produced in @xmath0 slices as a function of @xmath1 , and in a @xmath1 slices as a function of @xmath0 , it it is possible to parametrise a ratio of multiplicities on nucleus and deuterium ( per nucleon ) @xmath2 in a form of a function of a single variable @xmath3 , which has the physical meaning of the formation time of hadron . we call this effect @xmath3 scaling . @xmath3 is a function of two variables @xmath1 and @xmath0 . it is also shown that @xmath2 can be presented in a form of a linear polynomial of @xmath3 , @xmath4 + @xmath5 , where parameters @xmath4 and @xmath6 do not depend on @xmath1 and @xmath0 .","@xmath3 is a function of two variables @xmath1 and @x","@xmath3 is a function of two variables @xmath1 and @x","@xmath3 is a function of two variables @xmath1 and @x"
"by using a tracking quintessence model we obtain that the position of the first doppler peak in the spectrum of cmb anisotropies only depends on the topology of the universe , @xmath0 , for any value of the ratio @xmath1 , so that such a dependence is perfectly valid in the range suggested by supernova observations .","the position of the first doppler peak in the spectrum of cmb anisotropies depends","the position of the first doppler peak in the spectrum of cmb anisotropies depends","the position of the first doppler peak in the spectrum of cmb anisotropies depends"
"Zijpe () is a former municipality in the Netherlands, in the province of North Holland. In 2013, Zijpe and Harenkarspel merged into Schagen. Population centres The former municipality of Zijpe consisted of the following cities, towns, villages and/or districts: Burgerbrug, Burgervlotbrug, Callantsoog, Groote Keeten, Oudesluis, Petten, Schagerbrug, Sint Maartensbrug, Sint Maartensvlotbrug, 't Zand. Local government The municipal council of Zijpe consisted of 15 seats, which were divided as follows: BKV - 5 seats CDA - 5 seats PvdA - 3 seats VVD - 2 seats External links City Site (Dutch) Nieuws over Zijpe (Dutch) Alles over Schagen FM, de lokale omroep voor Schagen, Zijpe, Niedorp en Harenkarspel (Dutch) Schagen Former municipalities of North Holland Municipalities of the Netherlands disestablished in 2013","former municipality of zijpe consisted of 15 seats. former municipality consisted of cities,","former municipality of zijpe consisted of 15 seats. former municipality consisted of cities,","former municipality of zijpe consisted of 15 seats. former municipality consisted of cities,"
"The Kelowna Heat were a minor league baseball team located in Kelowna, British Columbia. The team played in the short-lived Canadian Baseball League and was not affiliated with any Major League Baseball team. Defunct minor league baseball teams Defunct baseball teams in Canada Baseball teams disestablished in 2003 Baseball teams in British Columbia Sport in Kelowna Defunct independent baseball league teams 2003 establishments in British Columbia 2003 disestablishments in British Columbia Baseball teams established in 2003","the Kelowna Heat were a minor league baseball team located in Kelowna, British Columbia","the Kelowna Heat were a minor league baseball team located in Kelowna, British Columbia","the Kelowna Heat were a minor league baseball team located in Kelowna, British Columbia"
"Nisus or Nisos may refer to: Classical mythology Nisus of Nisus and Euryalus, son of Hyrtacus, friend of Euryalus, in Virgil's Aeneid Nisos, a king of Megara Nisus or Silenus, foster father of Dionysus Nisus of Dulichium, son of Aretias, father of Amphinomus, in Book 18 of Homer's Odyssey Other uses HMS Nisus (1810), a Royal Navy 38-gun fifth rate frigate French brig Nisus (1805), a Palinure-class brig of the French Navy Nisus Writer, a word processor for the Apple Macintosh Eurasian sparrowhawk, Accipiter nisus, a small bird of prey in the family Accipitridae","Nisus of Nisus and Euryalus may refer to: Classical mythology","Nisus of Nisus and Euryalus may refer to: Classical mythology","Nisus of Nisus and Euryalus may refer to: Classical mythology"
"Zutendaal, in English sometimes also referred to as Sweet Valley, is a municipality located in the Belgian province of Limburg. On 1 January 2017 Zutendaal had a total population of 7,269. The total area is 32.07 km2, giving a population density of 227 inhabitants per km2. In addition to Zutendaal itself, the municipality includes the following population centres: Gewaai, Papendaal, Besmer, Broek, Stalken, Roelen, Daal, and Wiemesmeer. Etymology The first written mention of Zutendaal was in 1292 under the name of Suerbroeck, indicating that the land around the village was acidic and swampy. From 1345 the name changed to Zuetendael which literally translates to ""Sweet Valley"". Indicating there were a lot of freshwater sources around the village. Demographic evolution Bronnen:NIS, Opm:1806 tot en met 1981=volkstellingen; 1990 en later= inwonertal op 1 januari References External links - Available only in Dutch Municipalities of Limburg (Belgium)","Zutendaal, in English sometimes referred to as Sweet Valley, is a municipality","Zutendaal, in English sometimes referred to as Sweet Valley, is a municipality","Zutendaal, in English sometimes referred to as Sweet Valley, is a municipality"
"Year 486 (CDLXXXVI) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Basilius and Longinus (or, less frequently, year 1239 Ab urbe condita). The denomination 486 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Europe Battle of Soissons: Frankish forces under King Clovis I defeat the Gallo-Roman kingdom of Soissons (Gaul). Roman rule under Syagrius ends. The land between the Somme and the Loire becomes a part of the Frankish Empire. Syagrius flees to the Visigoths (under King Alaric II), but Clovis threatens war, and he is handed over for execution. Clovis I establishes his new residence at Soissons. He appoints Ragnachar, Frankish petty king (regulus), as his deputy ruler. By topic Religion Persian Christians who follow Nestorianism gather in the second Council of Seleucia (modern Turkey). Births Deaths Syagrius, Roman official in Gaul (approximate date) References","year 486 was a common year starting on Wednesday. it was known as the Year of","year 486 was a common year starting on Wednesday. it was known as the Year of","year 486 was a common year starting on Wednesday. it was known as the Year of"
"we argue the behavior of poynting flux - dominated outflows from agn in the galactic cluster systems by performing three - dimensional mhd simulations within the framework of the `` magnetic tower '' model . of particular interests are the structure of mhd waves , the cylindrical radial force balance , the ( de)collimation , and the stability properties of magnetic tower jets . transition between the jet / lobe and the formation of wiggling jet by growing current - driven instability are discussed .","we argue the behavior of poynting flux - dominated outflows from a","we argue the behavior of poynting flux - dominated outflows from a","we argue the behavior of poynting flux - dominated outflows from a"
